제목,내용,조회수,첨부파일명,첨부파일 링크,출처
한국전자파학회 영문학술지 'SCIE' 등재,"한국전자파학회가 발간하는 영문 학술지 'JEES'가 국제 과학기술 논문 인용색인 확장판(SCIE)에 등재됐다. SCIE는 국제적 저널을 수록하는 데이터베이스다.JEES의 질적 우수성과 국제적 영향력이 높은 점수를 받은 결과다.JEES는 24개 등재 평가 항목에 대한 품질기준, 4개 항목으로 구성된 영향력 기준을 모두 통과했다.",6,,,전자신문
美 AT&T 밀리미터파 활용 '5G+' 상용화,"미국 AT&T가 39㎓ 밀리미터파 대역을 활용한 '5G플러스(5G+)' 서비스를 상용화했다. 미국은 물론이고 글로벌 밀리미터파 경쟁 신호탄이 될지 주목된다.AT&T는 갤럭시S20·갤럭시S20 플러스·갤럭시S20 울트라를 출시하며 최초로 일반 소비자 대상 밀리미터파 서비스를 상용화한다고 밝혔다.AT&T는 우리나라 28㎓ 대역과 유사한 기능인 39㎓ 대역 밀리미터파를 활용하는 네트워크를 '5G+'로 명명했다. 기존 5G+시범 운영지역에서 갤럭시S10 5G 스마트폰을 제공했지만, 기업고객과 개발자를 대상으로 제한적으로 출시했다.",2,,,전자신문
"[이슈분석]한국, 제4이통 도전 7차례 실패",우리나라는 경쟁 활성화와 통신비 인하를 목표로 2010년부터 7차례 제4 이동통신사업자219를 선정하기 위한 절차를 진행했지만 모두 실패로 돌아갔다.재무적 능력을 갖춘 건실한 사업자가 등장하지 않은 게 주된 이유다. 우리나라도 제4 이통을 향한 문은 열려 있다는 평가다.우리나라 제4 이통 도전 역사는 2010년 6월 한국모바일인터넷(KMI)이 와이브로166 방식으로 사업권을 신청하며 시작됐다.,1,,,전자신문
"SKT '2G 종료' 또 조사···정부, 2차 실태점검 나선다",과학기술정보통신부가 SK텔레콤 2세대(2G) 이동통신 가입자들의 민원 분석과 기지국 현장 실사에 들어간다.기존 번호를 유지하려는 2G 가입자들의 반발이 지속되는 가운데 정부가 행정 절차와 데이터 검증을 통해 2G 종료 여부에 대한 결론을 앞당기려는 행보로 해석된다.과기정통부가 일부 지역 대상으로 제2차 SK텔레콤 2G 실태점검 계획을 수립한 것으로 확인됐다.,1,,,전자신문
"공공용 주파수 업무처리지침 마련…""수급 효율 향상""","과학기술정보통신부가 공공용 주파수를 효율적으로 수급·관리하기 위한 업무처리지침을 마련했다.과기정통부는 '공공용 주파수 업무처리지침'에 공공용 주파수 관련 업무 수행에 필요한 사항을 망라했다. 공공용 주파수는 1389개 중앙행정기관, 지방자치단체, 공공기관 등을 대상으로 제공한다.기존에는 내부 평가기준을 토대로 매년 평가하고 수급계획을 세웠다. 기준은 외부에 공개하지 않았다. 그러나 공공용 주파수 수요가 급증하자 과기정통부는 주파수 업무 불확실성 해소를 위해 지침을 공개하는 등 제도화에 나섰다.",1,,,전자신문
"KCA, 상시 전자파 모니터링...국민생활 안전 제고","한국방송통신전파진흥원(KCA, 원장 서석진)이 사물인터넷(IoT) 기술을 적용한 초소형 전자파 측정장치 등 혁신 기술로 안전한 전자파 환경을 구축한다.국내 유일 전자파 전문 공공기관으로, 국민 생활환경 전자파 안전을 제고함은 물론이고 사회적 가치 창출에도 일조한다.KCA는 국민의 전자파에 대한 불안감 해소와 올바른 정보제공을 위해 'IoT 기술을 접목한 상시 전자파 모니터링 체계'를 도입했다.",4,,,전자신문
"FCC, 구글에 3.5㎓ 공유주파수 사용권 부여···美 이통시장 파란 예고","미국 연방통신위원회(FCC)가 3.5㎓ 공유 주파수 대역을 상업용 서비스에 활용 가능하도록 최종 사용권을 부여했다. 구글의 이동통신 서비스 간접 진출 길이 열리며, 미국 이통시장 3강 체제 재편 이후 시장에 새로운 충격을 가져다 줄 계기가 될지 주목된다.FCC는 구글, 소니, 페데레이트 와이어리스, 콤스코프를 대상으로 3.5㎓ '민간 광대역 무선서비스'(CBRS;Citizens Broadband Radio Service)' 상업 활용을 허가했다.",2,,,전자신문
'비면허 5G'에 6㎓ 대역서 최대 1.2㎓ 폭 공급,"5세대(5G) 이동통신 확산을 위해 '비면허 5G' 주파수 최대 1.2㎓ 폭이 공급될 것으로 전망된다. 기업이 스마트공장에 적합한 맞춤형 5G망을 구축해 생산성을 높이도록 선택권을 확대하기 위한 목적이다. 과학기술정보통신부는 6㎓ 대역 대상으로 비면허 5G연구반을 가동, 주파수 분배 방안 수립과 기술 기준 제정에 착수한 것으로 확인됐다. 비면허 5G(NR-U)는 정부가 개방한 비면허 주파수 대역에 5G 코어망과 기지국 등 표준 기술을 적용해 초저지연·초고속 성능을 구현하는 기술로, 6월 국제민간표준화기구(3GPP) 상용화를 앞두고 있다.",5,,,전자신문
"[국제]美 법원, 화웨이 제재 위헌소송 기각",미국 법원이 화웨이가 미국 정부의 거래 제한이 부당하다며 제기한 위헌소송을 기각했다.미국 텍사스 동부 연방법원 아모스 마잔트 판사는 “미국 의회가 미국 연방기관과 계약업체가 화웨이·ZTE와 거래를 제한하는 '2019년 국방수권법(NDAA)'을 통과시킨 것은 적법하다”고 판시했다.,0,,,전자신문
"한국방송통신전파진흥원, 채용에 'AI역량검사' 활용","한국방송통신전파진흥원(원장 서석진, KCA)이 상반기 채용에 AI역량검사를 활용할 계획이라고 17일 밝혔다. 앞서 KCA는 2018년 3월 공공기관 최초로 AI역량검사를 도입했다. KCA는 서류전형에서 학력과 배경 등으로 필터링 되지 않고, 많은 지원자가 역량을 발휘할 수 있도록 서류제출 이후, 일정자격 요건만 충족되면 모든 지원자가 AI역량검사를 응시할 수 있도록 하고 있다.",2,,,전자신문
재난망-철도망-해상망 공동설계 '합의'...혁신기술로 전파간섭 해결,"국가재난안전통신망(PS-LTE48)과 철도통합무선통신망(LTE-R502), 초고속해상무선통신망(LTE-M609) 간 전파 간섭 회피 대책이 수립된다.3개 공공망 간 설계도를 공유하고 랜 셰어링(무선망 공유) 등 혁신 기술을 적용해 망 안정성을 극대화한다. 궁극적으로 국민 생명과 안전을 강화할 것으로 전망된다.행정안전부, 해양수산부, 국토교통부가 '통합공공망 협의회'(이하 협의회)를 구성하고 3개 공공망 간 공동설계와 안전기술 적용 원칙에 합의한 것으로 확인됐다. 〈본지 1월 28일자 1면 참조〉",1,,,전자신문
IoT 신규 과제 공모...약 117억원 지원,"공공·산업·일상생활에 활용될 혁신적 사물인터넷(IoT) 제품·서비스 발굴이 본격화된다.과학기술정보통신부는 약 117억원을 지원하는 '사물인터넷 제품·서비스 검증·확산 사업' 신규과제를 공모한다.자유공모 방식으로 과기정통부는 제품·서비스 파급효과와 경쟁력, 사업 수행 능력 등을 종합평가해 IoT 서비스 검증 및 확산, IoT 융합 제품 상용화 등 3개 분야 총 21개 과제를 선정할 예정이다.",3,,,전자신문
"5G 무선국 전자파 검사, 대상 줄이고 간격 늘린다","5세대(5G) 이동통신 무선국 전자파 검사 제도가 개선될 것으로 전망된다.종전의 전수조사와 달리 전자파 강도 검사 대상 무선국을 줄이고, 전자파 측정 간격도 넓힐 것으로 예상된다.이통사가 5G 기지국 전자파 측정에 필요한 시간과 비용을 줄일 것으로 기대된다.",0,,,전자신문
"美 법원, T모바일·스프린트 합병 승인···新 3강 5G 경쟁 촉진","미국 법원이 T모바일과 스프린트 합병을 승인했다. 가입자 1억명 이상을 보유한 글로벌 이동통신사가 탄생한다. 미국 이통 시장은 대등한 3강 체제로 재편, 5G 투자와 서비스 경쟁 활성화를 위한 전환점이 마련된 것으로 평가된다.미국 뉴욕 맨해튼 남부연방지방법원 빅터 마레로 판사는 뉴욕주를 비롯한 13개주와 워싱턴D.C 법무장관이 제기한 양사 합병반대 소송에서 T모바일·스프린트에 승소판결을 내렸다.",0,,,전자신문
