score,review
10,"
													관람객
													
													
													
													
													
														
															
																
																	
																		이 영화의 속편은 100% 성공이다. 원래 한국영화들 속편은 잘 안되고 속편 나오면 망하는 케이스던데 이번 범죄도시2는 속편 성공함 오랜만에 극장에서 다같이 웃으면서 봄 장이수 개웃기고 ㅋㅋㅋ 이번에도 명장면 + 명...
																	
																
															
															
														
														
													
												"
10,"
													관람객
													
													
													
													
													
														
															
															
																시리즈로 계속 나왔으면 좋겠다. 마동석한테 최적화된 작품이다. 
															
														
														
													
												"
8,"
													관람객
													
													
													
													
													
														
															
															
																니가 강해상이냐? 아뇨. 구씬데요? 
															
														
														
													
												"
10,"
													관람객
													
													
													
													
													
														
															
															
																전편을 보고 가야 장이수 얼굴만 봐도 웃음이 나오는 이유를 알 수 있습니다:) 
															
														
														
													
												"
9,"
													관람객
													
													
													
													
													
														
															
															
																와…. 손석구 연기 진짜 미쳣다…오바하는 범죄자연기가 아니라 ㄹㅇ 범죄자같음 
															
														
														
													
												"
10,"
													관람객
													
													
													
													
													
														
															
															
																액션과 유머 적절한 5:5였다. 꼭 사운드 좋은 곳에서 보길 
															
														
														
													
												"
10,"
													관람객
													
													
													
													
													
														
															
															
																장첸따위는 잊어라 구씨가 온다!! 
															
														
														
													
												"
10,"
													관람객
													
													
													
													
													
														
															
															
																잼써잼써ㅠ 마블리 펀치 사운드 장난 아니니까 꼭 극장에서 보세요ㅋㅋ 
															
														
														
													
												"
10,"
													관람객
													
													
													
													
													
														
															
															
																통쾌함을 마블에서 못보고 여기서 보네요. 스토리도 깔끔해서 몰입 하나도 안끊깁니다웃긴 요소가 기대벽이 있었음에도 꽤 있어요 개인적으로 조금 더 줘패고 싶었네요 
															
														
														
													
												"
8,"
													관람객
													
													
													
													
													
														
															
															
																이건 크게 잘될만하다. 
															
														
														
													
												"
10,"
													관람객
													
													
													
													
													
														
															
															
																진짜 쩐다. 특히 손석구 분노 연기 부들부들 떠는 게 디지고. 오랜만에 한국 영화 제대로 봤다. 천만 거뜬할 듯 
															
														
														
													
												"
9,"
													관람객
													
													
													
													
													
														
															
															
																1편 윤계상 악역 하는거 보고 역대급 이라 생각했는데 손석구가 그걸 넘어선 느낌;;ㄷㄷ 
															
														
														
													
												"
10,"
													관람객
													
													
													
													
													
														
															
															
																1편이 꽤나 수작이라 내심 걱정스러운 마음으로 봤는데 너무 재미져요 2!.3편도 기대! 
															
														
														
													
												"
10,"
													관람객
													
													
													
													
													
														
															
															
																니 내 누군지 아늬? 나 하얼빈에 장첸이야 
															
														
														
													
												"
10,"
													관람객
													
													
													
													
													
														
															
															
																솔직하게 장첸보다 강해상이 더 강해보인다 
															
														
														
													
												"
10,"
													관람객
													
													
													
													
													
														
															
															
																아.. 범죄자가 그렇게 섹시하면 어떡해요. 반해버렸네 
															
														
														
													
												"
10,"
													관람객
													
													
													
													
													
														
															
															
																와 한국영화의 속편 중에 처음으로 실망 안했다.. 
															
														
														
													
												"
10,"
													관람객
													
													
													
													
													
														
															
															
																누가 5야 ? 저도 순간 고민했습니다 
															
														
														
													
												"
7,"
													관람객
													
													
													
													
													
														
															
															
																구씨가 산포시로 도망친 이유 
															
														
														
													
												"
10,"
													관람객
													
													
													
													
													
														
															
																
																	
																		 1보다 재밌는게 말이되나여??진심 ㅋㅋㅋㅋ명장면 많고 웃긴장면도 많곸ㅋㅋㅋ감탄해씀 누구의 머릿속에서 나온아이디어인짘ㅋㅋ특히 에스컬레이터 씬ㅋㅋㅋㅋ그냥 보세여!!밑에 누가 킬링타임용이라고 적었던데 장난하나요..긴장감...
																	
																
															
															
														
														
													
												"
10,"
													관람객
													
													
													
													
													
														
															
															
																설마 재밌을까 했는데,개인적으로 2가 더 재밌었어요. 
															
														
														
													
												"
10,"
													관람객
													
													
													
													
													
														
															
															
																주인공이 절대 걱정이 안되는 영화. 
															
														
														
													
												"
10,"
													관람객
													
													
													
													
													
														
															
															
																손석구.... 연기 너무 좋다... 
															
														
														
													
												"
10,"
													관람객
													
													
													
													
													
														
															
															
																악당이 너무 쎈 악당인데 주인공이 더쎄서 좋아욬ㅋㅋㅋ개인적으로는 1편보다 재밌게봤습니다. 
															
														
														
													
												"
10,"
													관람객
													
													
													
													
													
														
															
															
																웃기기도 하고 손석구가 진짜 연기를 잘함 진짜 범죄자 처럼 막 합맞춰서 때리는게 아니라 진짜 실제같이 싸우고 그래서 보기가 좋음 특히 사람 죽일때도 아무 감정없어보이는 눈빛이 진짜 대박임 
															
														
														
													
												"
10,"
													관람객
													
													
													
													
													
														
															
															
																1편의 장점을 극대화하고, 1편의 단점을 보완함.한마디로 ㅈㄴ 재밌음 
															
														
														
													
												"
10,"
													관람객
													
													
													
													
													
														
															
															
																졸잼!!!!아 구씨 사랑해 
															
														
														
													
												"
10,"
													관람객
													
													
													
													
													
														
															
															
																손석구 ㄹㅇ 진짜 뭐냐이게 
															
														
														
													
												"
10,"
													관람객
													
													
													
													
													
														
															
															
																형은 다 알 수가 있어~~ 
															
														
														
													
												"
8,"
													관람객
													
													
													
													
													
														
															
															
																윤계상 장첸의 악역 포스를 성공적으로 이어받은 손석구 여전히 묵직한 마동석의 한 방 
															
														
														
													
												"
10,"
													관람객
													
													
													
													
													
														
															
															
																시작하자마자 올라간 재미는 나올때까지 내려가질 않네 
															
														
														
													
												"
10,"
													관람객
													
													
													
													
													
														
															
															
																범죄도시1을 재미있게보아서 2편을 보았는데 후회없었네요 마동석,손석구 배우 액션 좋았습니다. 
															
														
														
													
												"
9,"
													관람객
													
													
													
													
													
														
															
															
																요 근래 극장에서 본 연화들 중에 정말 오랜만에 무지하게 재미나게 봄! 
															
														
														
													
												"
8,"
													관람객
													
													
													
													
													
														
															
															
																주인공 빼고 모두가 걱정되는 영화 
															
														
														
													
												"
